name,SENTIMENT_EXTREME,WORD_COUNT_MIN,WORD_COUNT_MAX,ADJ_NOUN_RATIO,FIRST_PERSON_RATIO,SPAM_KEYWORD_MIN,CAPS_RATIO_MAX,EXCESSIVE_PUNCT_MIN,UNIQUENESS_RATIO_MIN,accuracy,precision,recall,f1_score,true_positives,false_positives,true_negatives,false_negatives,total_samples
Stage2_58,0.95,20,200,2.0,0.1,4,0.15,3,0.55,0.59,0.6666666666666666,0.36,0.4675324675324675,18,9,41,32,100
Stage2_43,0.95,20,200,2.0,0.1,3,0.2,4,0.55,0.59,0.6666666666666666,0.36,0.4675324675324675,18,9,41,32,100
Stage2_61,0.95,20,200,2.0,0.1,4,0.15,4,0.55,0.59,0.6666666666666666,0.36,0.4675324675324675,18,9,41,32,100
Stage2_14,0.95,20,200,2.0,0.1,2,0.2,3,0.6,0.59,0.6551724137931034,0.38,0.48101265822784806,19,10,40,31,100
Stage2_26,0.95,20,200,2.0,0.1,2,0.25,4,0.6,0.59,0.6551724137931034,0.38,0.48101265822784806,19,10,40,31,100
Stage2_28,0.95,20,200,2.0,0.1,3,0.15,2,0.55,0.59,0.6666666666666666,0.36,0.4675324675324675,18,9,41,32,100
Stage2_31,0.95,20,200,2.0,0.1,3,0.15,3,0.55,0.59,0.6666666666666666,0.36,0.4675324675324675,18,9,41,32,100
Stage2_64,0.95,20,200,2.0,0.1,4,0.2,2,0.55,0.59,0.6666666666666666,0.36,0.4675324675324675,18,9,41,32,100
Stage2_2,0.95,20,200,2.0,0.1,2,0.15,2,0.6,0.59,0.6551724137931034,0.38,0.48101265822784806,19,10,40,31,100
Stage2_76,0.95,20,200,2.0,0.1,4,0.25,3,0.55,0.59,0.6666666666666666,0.36,0.4675324675324675,18,9,41,32,100
Stage2_46,0.95,20,200,2.0,0.1,3,0.25,2,0.55,0.59,0.6666666666666666,0.36,0.4675324675324675,18,9,41,32,100
Stage2_49,0.95,20,200,2.0,0.1,3,0.25,3,0.55,0.59,0.6666666666666666,0.36,0.4675324675324675,18,9,41,32,100
Stage2_3,0.95,20,200,2.0,0.1,2,0.15,2,0.65,0.58,0.6333333333333333,0.38,0.4750000000000001,19,11,39,31,100
Stage2_4,0.95,20,200,2.0,0.1,2,0.15,3,0.55,0.58,0.6428571428571429,0.36,0.4615384615384615,18,10,40,32,100
Stage2_1,0.95,20,200,2.0,0.1,2,0.15,2,0.55,0.58,0.6428571428571429,0.36,0.4615384615384615,18,10,40,32,100
Stage2_21,0.95,20,200,2.0,0.1,2,0.25,2,0.65,0.58,0.6333333333333333,0.38,0.4750000000000001,19,11,39,31,100
Stage2_18,0.95,20,200,2.0,0.1,2,0.2,4,0.65,0.58,0.6333333333333333,0.38,0.4750000000000001,19,11,39,31,100
Stage2_33,0.95,20,200,2.0,0.1,3,0.15,3,0.65,0.58,0.6333333333333333,0.38,0.4750000000000001,19,11,39,31,100
Stage2_30,0.95,20,200,2.0,0.1,3,0.15,2,0.65,0.58,0.6333333333333333,0.38,0.4750000000000001,19,11,39,31,100
Stage2_9,0.95,20,200,2.0,0.1,2,0.15,4,0.65,0.58,0.6333333333333333,0.38,0.4750000000000001,19,11,39,31,100
Stage2_16,0.95,20,200,2.0,0.1,2,0.2,4,0.55,0.58,0.6428571428571429,0.36,0.4615384615384615,18,10,40,32,100
Stage2_15,0.95,20,200,2.0,0.1,2,0.2,3,0.65,0.58,0.6333333333333333,0.38,0.4750000000000001,19,11,39,31,100
Stage2_12,0.95,20,200,2.0,0.1,2,0.2,2,0.65,0.58,0.6333333333333333,0.38,0.4750000000000001,19,11,39,31,100
Stage2_13,0.95,20,200,2.0,0.1,2,0.2,3,0.55,0.58,0.6428571428571429,0.36,0.4615384615384615,18,10,40,32,100
Stage2_10,0.95,20,200,2.0,0.1,2,0.2,2,0.55,0.58,0.6428571428571429,0.36,0.4615384615384615,18,10,40,32,100
Stage2_6,0.95,20,200,2.0,0.1,2,0.15,3,0.65,0.58,0.6333333333333333,0.38,0.4750000000000001,19,11,39,31,100
Stage2_7,0.95,20,200,2.0,0.1,2,0.15,4,0.55,0.58,0.6428571428571429,0.36,0.4615384615384615,18,10,40,32,100
Stage2_27,0.95,20,200,2.0,0.1,2,0.25,4,0.65,0.58,0.6333333333333333,0.38,0.4750000000000001,19,11,39,31,100
Stage2_25,0.95,20,200,2.0,0.1,2,0.25,4,0.55,0.58,0.6428571428571429,0.36,0.4615384615384615,18,10,40,32,100
Stage2_24,0.95,20,200,2.0,0.1,2,0.25,3,0.65,0.58,0.6333333333333333,0.38,0.4750000000000001,19,11,39,31,100
Stage2_22,0.95,20,200,2.0,0.1,2,0.25,3,0.55,0.58,0.6428571428571429,0.36,0.4615384615384615,18,10,40,32,100
Stage1_109,0.95,10,200,2.0,0.1,3,0.2,3,0.6,0.58,0.6538461538461539,0.34,0.4473684210526316,17,9,41,33,100
Stage1_118,0.95,15,200,2.0,0.1,3,0.2,3,0.6,0.58,0.6538461538461539,0.34,0.4473684210526316,17,9,41,33,100
Stage2_42,0.95,20,200,2.0,0.1,3,0.2,3,0.65,0.58,0.6333333333333333,0.38,0.4750000000000001,19,11,39,31,100
Stage2_45,0.95,20,200,2.0,0.1,3,0.2,4,0.65,0.58,0.6333333333333333,0.38,0.4750000000000001,19,11,39,31,100
Stage2_81,0.95,20,200,2.0,0.1,4,0.25,4,0.65,0.58,0.6333333333333333,0.38,0.4750000000000001,19,11,39,31,100
Stage2_19,0.95,20,200,2.0,0.1,2,0.25,2,0.55,0.58,0.6428571428571429,0.36,0.4615384615384615,18,10,40,32,100
Stage2_78,0.95,20,200,2.0,0.1,4,0.25,3,0.65,0.58,0.6333333333333333,0.38,0.4750000000000001,19,11,39,31,100
Stage2_75,0.95,20,200,2.0,0.1,4,0.25,2,0.65,0.58,0.6333333333333333,0.38,0.4750000000000001,19,11,39,31,100
Stage2_72,0.95,20,200,2.0,0.1,4,0.2,4,0.65,0.58,0.6333333333333333,0.38,0.4750000000000001,19,11,39,31,100
Stage2_69,0.95,20,200,2.0,0.1,4,0.2,3,0.65,0.58,0.6333333333333333,0.38,0.4750000000000001,19,11,39,31,100
Stage2_66,0.95,20,200,2.0,0.1,4,0.2,2,0.65,0.58,0.6333333333333333,0.38,0.4750000000000001,19,11,39,31,100
Stage2_60,0.95,20,200,2.0,0.1,4,0.15,3,0.65,0.58,0.6333333333333333,0.38,0.4750000000000001,19,11,39,31,100
Stage2_63,0.95,20,200,2.0,0.1,4,0.15,4,0.65,0.58,0.6333333333333333,0.38,0.4750000000000001,19,11,39,31,100
Stage2_57,0.95,20,200,2.0,0.1,4,0.15,2,0.65,0.58,0.6333333333333333,0.38,0.4750000000000001,19,11,39,31,100
Stage2_54,0.95,20,200,2.0,0.1,3,0.25,4,0.65,0.58,0.6333333333333333,0.38,0.4750000000000001,19,11,39,31,100
